texts,LN1,LN2,LN3,LN4,LN5,LN6,LN7,LN8,LN9,LN10,sentence_index
三、被告乐清市丰华接插件有限公司对上述第一项债务承担连带清偿责任。,0,0,0,0,0,0,0,0,0,0,1130
保证范围为债权本金8200万元及利息（包括复利和罚息）、违约金、赔偿金和债权人实现债权而发生的费用（包括但不限于诉讼费、仲裁费、财产保全费、差旅费、执行费、评估费、拍卖费等）；,0,0,0,0,0,0,0,0,0,0,1045
关于《中国工商银行佛山分行企业流动资金借款合同》项下被告五金公司的担保责任是否已过保证期间问题。,0,0,1,0,0,0,0,0,0,0,4431
协议订立后，原告管正元于2015年2月11日支付了债权转让款1122425．29元，第三人分别于2015年5月14日和2016年11月30日在株洲晚报和潇湘晨报上刊登了《债权转让通知》，通知载明：“致债务人王进：我社与你于2009年4月26日签订了两份《个人商铺置业贷款合同》，你分别向我社借款1140000元和700000元，至2014年9月27日止，你尚欠我社借款本金为1122425．29元，现我社已将上述债权（包括但不限于本金、利息、违约金等）转让给了管正元，故请你从本通知之日起，向债权受让人向债权受让人管正元履行相应义务。”,1,0,1,0,0,0,0,0,0,0,1664
原告接收该笔债权后，向被告先科激光公司、先科集团分别发送了《债务催收通知》，并自2001年12月21日至2013年7月5日，多次在《经济日报》上刊登《债权催收公告》，但被告先科激光公司、被告先科集团至今未向原告履行还款义务。,0,0,0,0,0,0,0,1,0,0,172
五、被告上海融真融资担保有限公司、汤谢俊、何如玉、何万会对上述判决主文第一项至第四项所确定的被告上海宝景物流有限公司的还款义务，向原告上海和一投资发展有限公司承担连带清偿责任，并在承担了保证责任后，有权在保证责任范围内向被告上海宝景物流有限公司追偿；,0,0,0,0,0,0,1,0,0,0,6904
借款方请三洲公司作为自己的借款保证方，当借款方不履行合同时，由保证方连带承担偿还借款本息的责任；,0,0,0,0,0,0,1,0,0,0,5270
被告苏士宋、陈雪春自愿提供坐落于瑞安市塘下镇海安城东村海安东路××弄××号房屋［房屋所有权证号：瑞安市房权证塘下镇海安字第××号，丘（地）号：G0914-3-1，建筑面积：280.35平方米］，作为借款的抵押物且已办理抵押登记手续，原告东方资产公司依约有权在登记的最高债权限额55万元范围内就上述抵押物优先受偿。,0,0,0,0,0,0,0,0,0,0,7331
根据《中华人民共和国民事诉讼法》第一百二十四条第五项的规定，对判决、裁定、调解书已经发生法律效力的案件，当事人起诉的，应告知当事人申请再审。,0,0,0,0,0,0,0,0,0,0,6451
2、判令被告河曲县沙坪乡沙坪村民委员会对河曲县沙坪双口煤矿所欠债务承担共同责任。,0,0,0,0,0,0,0,0,0,0,257
该《保证合同》第三条对保证期限约定：“丙方（蓝带集团公司）的保证期限为：从主合同生效开始至主合同项下贷款本息全部清偿完毕为止。”,0,0,0,0,0,0,0,0,0,1,6453
关于华融北分公司要求联邦伟业公司支付实现债权的费用700万元的诉讼请求。,0,0,0,1,0,1,0,0,0,0,6155
本院认为：温州市公安局鹿城区分局已撤销了对工商银行市中支行涉嫌违法发放贷款案的侦查，现无证据证明涉案贷款存在违法的情形，涉案《小企业借款合同》、《最高额抵押合同》、《债权转让合同》经审查合法有效，应受法律保护。,1,0,1,0,0,0,0,0,0,0,3742
2013年9月13日被告一的1000万元借款到期，但被告一除偿还部分利息外，没有按期偿还借款本息，至2013年12月20日，被告一拖欠借款本金人民币1000万元及利息409053元。,0,1,0,0,0,0,0,0,0,0,6989
对于被告二邱永怡，其出生于1997年，于2011年3月1日与其父亲被告一邱某共同与第三人中国银行签订《最高额抵押合同》，因其系未成年人，在其法定代理人父亲的监护、指引下进行民事活动，符合《中华人民共和国民法通则》关于限制行为能力的民事活动的规定，本院予以确认。,0,0,0,1,0,0,0,0,0,0,3523
二、一审法院判定马小春、莫康生、郑元忠在破产重整程序终结后15日内对未清偿部分承担连带清偿责任，属于适用法律错误。,0,0,0,0,0,0,1,0,0,0,1822
1999年6月2日，中国工商银行惠阳市支行向被告惠阳市物业开发（集团）实业发展公司发出《催收贷款通知书》，被告惠阳物业开发（集团）实业发展公司在该通知书上签章确认。,0,0,0,0,0,0,0,1,0,0,3651
此后，双方在台州市路桥区国土资源局办理了抵押物登记，路桥工行于2014年8月26日领取了路他项（2014）第00179号他项权利证书。,0,0,0,0,0,0,0,0,0,0,5501
2013年12月16日，大连润普电器制造有限公司以拍卖方式取得了上述债权，后又转让给原告上海明嘉会展服务有限公司。,1,0,0,0,0,0,0,0,0,0,1753
根据《合同法》第八十一条关于“债权人转让权利的，受让人取得与债权相关的从权利，但该权利专属于债权人自身的除外”的规定，鉴于收取逾期利息系金融机构的专属性权利，而本案系争债权受让人和一公司为非金融机构，故其不具有收取逾期利息的权利，因此，原告诉讼请求中自其与南京银行签订《债权转让协议》次日（即2014年7月1日）起计收逾期利息的诉讼请求不予支持。,0,0,0,0,0,0,0,0,0,0,6897
一、被告河北省涿州市购物中心于判决生效后十日内给付原告许玉红借款人民币21587933.04元（含债权转让时利息）及利息（利息从2011年12月12日起计算至执行完毕日止，利率按中国人民银行同期贷款利率计息）；,0,1,0,0,1,0,0,0,1,0,1470
原告及信达北京分公司于2011年2月1日、2011年9月29日、2013年8月21日三次在《金融时报》上刊登催收公告，并载有要求债务人、相应担保人履行还款义务的内容，因此，被告世纪巨隆有限公司关于诉讼请求已过时效的辩论意见、被告宾阳建筑有限公司关于原告没有在保证期间内要求其承担保证责任的辩解意见，证据不足，本院不予采信。,0,0,0,0,0,0,0,1,0,0,7036
2012年5月22日，第三人中行博罗支行将上述《个人贷款合同》的权利及相关担保权益权转给原告，并于5月29日在《惠州日报》刊登了转让及催收公告，符合《中华人民共和国合同法》关于债权转让的规定，本院予以确认。,1,0,1,1,0,0,0,1,0,0,3520
二、被告建安公司对被告华城公司的上述债务承担连带偿还责任，其承担保证责任后，有权向华城公司追偿。,0,0,0,0,0,0,1,0,0,0,3772
根据《中华人民共和国担保法》第十八条，第三十一条，最高人民法院关于适用《中华人民共和国担保法》若干问题的解释第43条，《中华人民共和国民事诉讼法》第一百四十四条之规定，判决如下：,0,0,0,0,0,0,0,0,0,0,38
四、被告浙江金色铜业有限公司对上述第一项债务承担连带清偿责任，但承担责任的范围与合同编号为2011年开发保字0017号的《最高额保证合同》项下担保的其他债务合计不超过1625万元。,0,0,0,0,0,0,0,0,0,1,5081
故长城资产公司要求金属回收公司偿还借款本金和利息的诉讼请求应予支持。,0,0,0,0,1,0,0,0,1,0,1239
所附债权转让清单载明转让的债权本金为270万元及截至2015年3月10日（转让基准日）的利息为115，997.78元。,1,0,0,0,0,0,0,0,0,0,2087
2015年12月24日，中国银行与东方公司在《浙江法制报》发布债权转让通知暨债务催收联合公告，要求各债务人从公告之日起立即向东方公司清偿债务。,1,0,0,0,1,0,0,1,0,0,4139
2013年黄冈市国有资产经营公司将此债权转让给学高公司。,1,0,0,0,0,0,0,0,0,0,2694
双方并办理了抵押登记手续。,0,0,0,0,0,0,0,0,0,0,2933
2014年12月26日，江苏银行与东方资产公司签订《单户资产转让协议》，将包含有涉案两份《流动资金借款合同》项下的对宝瑞公司的全部债权本金3447962.06元及截止转让基准日2014年10月21日的相应利息和该债权的从属权利保证债权转让给东方资产公司，并于2015年3月30日在《江苏经济报》刊登了资产转让通知暨债务催收公告，该债权转让合同系当事人真实意思表示，内容并不违反法律规定，同时东方资产公司已对债权转让的事实通过公告的方式通知了债务人和保证人，故该债权转让合同有效，且已对本案各被告发生效力。,1,1,1,0,0,0,0,1,0,0,5821
本院认为：涉案的《流动资金借款合同》、《保证合同》、《承担共同还款责任承诺书》、《分户债权转让协议》均未违反法律、行政法规的强制性规定，依法有效，应受法律保护。,1,0,1,0,0,0,0,0,0,1,6716
综上所述，为了依法维护原告的合法权益，请求判决：一、被告偿还借款本金人民币2，500，000.00元给原告；,0,0,0,0,1,0,0,0,0,0,4074
二、如被告瑞安市飞跃鞋业股份有限公司逾期不履行还款义务，原告中国信达资产管理股份有限公司浙江省分公司有权对登记在被告瑞安市飞跃鞋业股份有限公司名下的坐落于瑞安市飞云街道云周繁荣村的房地产（所有权证号：00008879号、00002465号，土地使用权证号：2012-211-0093号、2003-27-468号）折价或者拍卖、变卖所得价款优先受偿，但包括上述债务在内，原告对编号为33100620120020343《最高额抵押合同》项下所有担保主债权享有优先受偿额的总额以2230万元为限；,0,0,0,0,0,0,0,0,0,0,2610
同日，嘉祥县农村合作信用联社将债权转让事宜电话通知重特公司法定代表人郭华伟，并于2015年1月6日在《齐鲁晚报》刊登《债权转让通知》，告知债务人和担保人，将上述债权本金利息等所涉款项支付给原告盛大公司。,1,0,0,0,0,0,0,0,0,0,6590
二、被告湖州李家巷南方水泥有限公司对上述第一项给付义务承担连带清偿责任。,0,0,0,0,0,0,1,0,0,0,3161
此后，在二年诉讼时效期内，原告又在省级报纸发布债权催收公告，又造成诉讼时效的中断，则本案原告对两被告的诉讼时效并未超过，两被告应承担担保代偿责任。,0,0,0,0,0,0,0,1,0,0,4094
